calories,carbohydrate,sugar,protein,category,servings,high_traffic
,,,,Pork,6,1
35.48,38.56,0.66,0.92,Potato,4,1
914.28,42.68,3.09,2.88,Breakfast,1,0
97.03,30.56,38.63,0.02,Beverages,4,1
27.05,1.85,0.8,0.53,Beverages,4,0
691.15,3.46,1.65,53.93,One Dish Meal,2,1
183.94,47.95,9.75,46.71,Chicken,4,0
299.14,3.17,0.4,32.4,Lunch/Snacks,4,0
538.52,3.78,3.37,3.79,Pork,6,1
248.28,48.54,3.99,113.85,Chicken,2,0
170.12,17.63,4.1,0.91,Beverages,1,0
155.8,8.27,9.78,11.55,Breakfast,6,0
274.63,23.49,1.56,2.57,Potato,4,1
25.23,11.51,10.32,9.57,Vegetable,4,1
217.14,6.69,10.0,15.17,Meat,4,1
316.45,2.65,4.68,79.71,Meat,6,1
454.27,1.87,2.95,61.07,Meat,2,1
1695.82,0.1,0.39,33.17,Meat,1,1
1090.75,4.65,0.69,3.49,Meat,6,1
127.55,27.55,1.51,8.91,Chicken,2,0
9.26,17.44,8.16,10.81,Potato,6,1
40.53,87.91,104.91,11.93,Dessert,4,0
82.73,3.17,7.95,26.04,Breakfast,4,0
,,,,Meat,2,0
1161.49,1.53,8.88,12.57,Breakfast,1,1
56.29,22.35,11.38,34.79,One Dish Meal,4,1
411.16,51.7,27.78,70.3,Pork,2,1
574.75,13.12,1.84,13.85,Potato,4,1
595.39,62.67,2.64,4.96,Potato,2,1
164.76,33.58,17.87,220.14,One Dish Meal,2,1
215.98,52.66,6.25,32.32,Pork,2,1
617.11,23.1,32.83,45.89,Breakfast,6,0
347.06,9.5,5.92,82.58,Chicken,4,0
497.17,1.47,1.51,2.97,Lunch/Snacks,6,1
575.63,20.71,0.2,6.24,Breakfast,6,1
796.89,29.1,9.63,2.28,Lunch/Snacks,2,0
1321.78,70.07,7.75,19.51,Breakfast,1,0
44.55,99.82,2.62,15.57,Breakfast,4,0
264.62,1.5,18.44,32.62,Chicken,4,0
44.81,4.62,0.4,5.9,Vegetable,4,1
621.54,14.16,10.7,39.69,Chicken,6,1
290.1,4.43,1.05,40.64,Breakfast,4,0
576.89,4.79,20.92,4.29,One Dish Meal,2,0
262.12,17.46,0.33,87.05,Chicken,4,0
