calories,carbohydrate,sugar,protein,category,servings,high_traffic
23.64,102.52,14.22,61.22,One Dish Meal,4,1
135.85,23.89,12.38,14.89,Potato,1,1
409.99,13.61,1.96,8.77,Vegetable,4,1
125.95,7.85,5.38,0.83,Beverages,2,0
240.52,19.5,5.64,2.44,Pork,4,1
26.76,5.17,2.39,4.45,Vegetable,4,1
268.36,12.29,6.46,78.25,Chicken,4,0
370.92,6.65,4.55,11.97,Lunch/Snacks,1,0
188.42,34.29,5.55,3.15,Breakfast,4,1
236.62,9.67,0.81,9.07,Potato,6,1
498.56,5.96,2.08,15.44,Breakfast,2,0
110.17,65.7,58.15,5.92,Dessert,1,1
112.46,15.54,4.33,26.1,Lunch/Snacks,4,1
,,,,Dessert,2,1
100.82,102.44,1.25,33.51,Potato,1,1
2051.34,2.46,2.12,69.62,Chicken,2,1
324.12,28.42,7.79,12.47,Meat,2,1
70.81,27.0,11.18,0.21,Beverages,4,0
662.78,47.61,4.08,2.39,Meat,1,1
595.39,62.67,2.64,4.96,Potato,2,1
780.48,7.03,2.08,9.93,Lunch/Snacks,1,1
309.05,126.18,37.76,2.76,Dessert,4,1
268.04,77.7,2.43,0.88,Beverages,2,0
56.91,107.12,1.91,0.8,Vegetable,4,1
280.13,1.1,7.58,0.56,Beverages,2,0
715.14,20.37,3.27,2.47,Dessert,1,0
1610.06,42.58,0.24,48.54,Meat,4,1
133.7,50.22,0.1,32.71,Chicken,6,0
44.02,6.95,1.23,2.37,Vegetable,4,1
359.0,1.65,1.11,20.55,Chicken,4,1
61.78,13.87,10.68,0.72,Beverages,2,0
264.13,39.05,2.97,23.04,Chicken,4,1
51.81,25.43,0.87,42.7,One Dish Meal,2,0
180.42,9.64,6.87,15.59,Breakfast,4,1
114.74,32.69,10.02,87.46,Pork,6,1
126.96,19.11,18.17,0.18,Beverages,4,0
858.67,5.07,7.47,1.84,Lunch/Snacks,1,1
82.73,3.17,7.95,26.04,Breakfast,4,0
291.64,2.12,42.8,11.05,Breakfast,6,0
196.69,1.89,1.48,1.81,Chicken,6,0
,,,,Meat,1,1
1348.4,152.24,0.15,2.56,One Dish Meal,2,1
131.51,33.32,1.7,87.11,Pork,6,1
269.24,30.22,13.63,36.72,Meat,2,1
199.2,0.69,4.11,0.12,Beverages,4,0
,,,,Potato,2,1
502.89,3.44,3.9,0.1,Beverages,6,0
1245.7,0.08,14.34,3.52,Lunch/Snacks,4,1
481.88,12.74,1.34,51.9,Chicken,1,1
368.09,6.7,0.68,8.16,Lunch/Snacks,1,0
49.2,173.93,3.53,5.96,Breakfast,2,0
305.09,21.98,30.6,11.79,Lunch/Snacks,4,1
241.0,16.83,16.4,1.02,Beverages,2,0
,,,,Potato,4,1
278.05,9.85,12.93,26.75,Chicken,6,1
374.35,15.19,9.22,2.49,Dessert,2,1
113.31,11.5,1.73,11.6,Vegetable,2,1
1279.53,19.56,1.08,18.2,Pork,4,1
877.29,16.62,37.05,21.09,Pork,4,1
481.51,5.99,5.43,28.51,Meat,4,1
223.01,25.99,7.52,11.69,Meat,4,1
1277.97,4.15,0.29,7.64,Pork,1,1
61.8,6.28,0.72,15.46,Vegetable,4,0
1706.75,24.59,5.35,39.53,Meat,4,1
71.34,38.27,2.88,24.74,Meat,1,1
338.74,70.14,0.58,13.36,Chicken,4,0
915.15,44.8,8.97,14.27,Potato,4,1
108.55,42.6,1.04,1.96,Vegetable,4,1
73.3,7.73,3.95,36.47,Vegetable,6,1
217.57,8.43,7.26,78.47,Chicken,4,0
,,,,Vegetable,1,1
88.26,18.58,5.21,99.64,Meat,6,1
155.8,8.27,9.78,11.55,Breakfast,6,0
960.75,190.84,4.13,96.91,One Dish Meal,4,1
362.89,34.63,1.2,7.48,Pork,2,1
1266.75,154.18,0.59,0.46,Lunch/Snacks,4,1
384.96,58.61,0.55,23.38,Chicken,2,0
113.62,7.12,5.27,13.4,Vegetable,4,1
247.89,44.68,2.64,19.94,Chicken,1,1
356.64,1.24,54.47,0.48,Beverages,4,0
160.05,42.45,1.6,44.38,One Dish Meal,2,1
1054.4,25.96,0.43,0.24,Potato,6,0
89.72,10.83,2.26,4.52,Vegetable,2,1
7.39,4.47,11.62,10.75,Vegetable,4,1
548.43,127.12,8.71,24.1,Chicken,2,0
546.1,26.13,3.17,19.42,Chicken,6,1
259.95,18.93,5.08,0.33,Vegetable,6,1
,,,,Pork,6,1
581.04,38.52,0.1,82.85,Chicken,1,1
93.5,39.28,2.57,23.68,Breakfast,4,0
128.3,210.77,112.24,13.02,Dessert,4,0
189.27,9.54,6.47,0.34,Beverages,6,0
576.07,21.89,2.96,71.16,Pork,4,0
1089.14,5.14,7.51,47.4,Chicken,6,0
561.44,43.26,0.14,96.27,Chicken,6,0
310.1,48.58,35.01,40.12,Pork,4,1
274.63,23.49,1.56,2.57,Potato,4,1
416.01,1.84,17.99,1.41,Pork,1,1
791.99,56.12,2.47,2.77,Potato,4,1
767.16,24.76,0.57,31.07,Potato,4,1
418.22,32.08,19.78,0.29,Beverages,1,0
2283.29,34.34,5.12,17.57,Chicken,6,0
127.55,27.55,1.51,8.91,Chicken,2,0
646.15,22.1,39.34,16.73,Dessert,6,0
1335.54,27.82,9.03,8.64,Breakfast,2,0
311.39,43.2,1.13,3.36,Vegetable,1,1
